,RetweetCount,Tweet,PronounFlag,UnknownFlag,AtSymbolFlag
107,546,RT @KnodaQueen: i hate it when i have a dream about someone i know doing me dirty.  i really wake up mad as fuck at them for some shit they…,0,0,1
108,0,I️ hate drama 🙄,0,0,0
109,6,RT @catholic_nun: Too many of my friends keep texting me and want to talk to me and I️ just get overwhelmed and want to push them all away…,0,0,1
110,0,@Ben1_2 @alliewen21 This is what angers me and keeps me vigilant as it is apparent too many people in our country h… https://t.co/4Anos84Ozp,0,0,1
111,3,RT @LetAleeBe: I hate when people don’t reply to my text smh,0,0,1
112,150,"RT @AboutVirgos: #Virgos hate sneaky people. They respect people who are straight forward, honest and direct.",0,0,1
113,10580,"RT @marie_brownsuga: i hate arguing through text. let's argue in person so, i can knock yo ass out.",0,0,1
114,0,Watching this fashion show for the first time for Harry. Can’t wait to hate myself,0,1,0
115,0,"I hate when niggas ask ""Why you doin all dat"" all what? Walkin away from this bullshit you tryina submerge me in? D… https://t.co/gWXz9HqUpa",0,0,0
116,1,reason why I hate slavery https://t.co/nY6ORpyrMg,0,0,0
117,0,So apparently I can handle drunk people but I fucking hate people that are tipsy or buzzed,0,0,0
118,919,RT @Benoo_Brown: once you've told your mum you hate someone there's no going back,1,0,1
119,0,@ChickfilA I love your nugs but hate your homophobia pls consider being not homophobic so I can enjoy the nuggies in peace thank u,0,0,1
120,30,RT @NWPinPDX: Bigotry wrapped in a prayer is still bigotry. Holding a bible while you hate doesn't erase your words. https://t.co/YbL6GMXP9I,0,0,1
121,1462,RT @VanigliaGhia: Pink is legit like the best colour I feel like people get taught to hate it and then years later learn the unholy error o…,0,0,1
122,0,@jaredlholt Too much fucking hate in the world. What's the solution?,0,0,1
123,2499,RT @MacBibIe: I hate being second to those I put first.,0,0,1
124,0,"I said it once, I’ll say it again. I HATE MY WORLD CIVILIZATIONS CLASS!!!!!!!",0,1,0
125,62,"RT @OhioStateOnBTN: His pinned tweet reads: ""Learn to love the hate""

@JT_theQB4th has dealt with more than his share of critics.

And yet,…",0,0,1
126,0,hate being this person but you’re not gonna make me look crazy. I just want what was promised to me 😴,0,0,0
127,26,"RT @murielknudson: being an artist is so weird, like, you constantly fucking hate your work but also think it’s your greatest work that you…",1,0,1
128,0,I hate #Olicity with literally every fiber of my being.,0,0,0
129,41,"RT @ramzpaul: ""To end Jewish supremacy, Jewish women must stop sleeping with Jewish men.""

That would result in an instant ban from social…",0,0,1
130,0,People really trying to hate on Jay?? Smh,0,0,0
131,0,Lave Your Neighbour As Yourself. And If You Hate Yourself. Leave Your Neighbour Alone.,1,0,0
132,0,one thing ive learned while watching lgbt fans cannibalize each other is that half of representation matters discou… https://t.co/KwhEBlzYjy,0,0,0
133,10,RT @LovableNotebook: I hate that I'm such a forgiving person. You can do me dirty and I'll still convince myself that those weren't your in…,0,0,1
134,0,I hate my English class with a passion,0,1,0
135,0,my life is a mess right now i hate exams so much they stress me out so fucking much i feel unfuckingwanted,0,0,0
136,0,If my parents hate me so much why don’t they just kick me out already? Lmao,0,0,0
137,0,@AKarn76 Honestly I would hate that as an SC fan. Florida hit a home run with Mullen and I don’t want another killer offense in the east lol,0,0,1
138,0,i hate talking to people because i get attached to fast if im really fcking w you! 😩,0,0,0
139,0,@alexiscurlss @hawkinsdelaney4 But it teaches so much like how to hate people,0,0,1
140,0,I hate this life Im living.,0,0,0
141,0,I hate seeing my mom sick,0,0,0
142,1,i give up bitch fuck this shit i hate the internet,0,0,0
143,0,@martarddd OMF I HATE (love) YOU!! PSA TO EVERYONE: I DONT ACTUALLY HAVE ONE IM NOT WEIRD,0,0,1
144,0,This why i hate being on other people’s time 🙄,0,0,0
145,1610,RT @HayesGrier: smile at people who hate you,1,0,1
146,6,RT @catholic_nun: Too many of my friends keep texting me and want to talk to me and I️ just get overwhelmed and want to push them all away…,0,0,1
147,0,#SmackdownLive  suck tonight raw was better then smackdown this week I hate Kevin Owens. I think Daniel Bryan going to turn bad,0,0,0
148,0,"@RealBenCarson You don’t get to say Merry Christmas until you understand what being Christian means. Just stop it,… https://t.co/k9XhMF5TT6",0,0,1
149,10,"RT @marrymeleigh: Can we all just look forward to Reggaeton Lento Remix live performance on XFactorUK eventhough we hate Cowbell so much, b…",0,0,1
150,0,@yungsquidkid (I hate stuffing) (my family does not make stuffing for thanksgiving and I thank god for it every year),0,0,1
151,85,RT @JonB_954: I hate when people bring up old 💩.,0,0,1
152,337,"RT @vinceliban: Naiiyak at nagagalit pa rin ako. Aside from irresponsible media coverage &amp; public outing of these gay men &amp; a PLHIV, there…",0,0,1
153,3,RT @magicaIhearts: I hope that someday I won't hate what I see in the mirror or constantly put myself down. I wanna be at least okay with m…,0,0,1
154,0,@Sparkles5242 @irene_ogot @tinsky73 @Maichardology Wrong I don’t think I should hate Maine and give my sympathy to… https://t.co/clU2G1rTWq,0,0,1
155,0,Don’t you hate when you think someone is cute and you end up chilling with them but their breathe stink now you can… https://t.co/6Xhwq92wmD,0,0,0
156,317,RT @LouisFarrakhan: This country has been led along a path that is taking it down very quickly. The Bible teaches about a Mystery Babylon t…,0,0,1
157,0,@illevgurl maybe i'm reaching but i also reported that acc bcs it's basically full of hate :(,0,0,1
158,1,"RT @pastel_leather: me: doesn’t touch FLVS for 3 weeks
also me: completes an entire module for a class at 3am

lmaooo my teachers hate me i…",0,0,1
159,0,They think im “bougie” &amp; “conceited” now.. PLEASE dont let me get that “im the shit &amp; you hoes cant touch me” attit… https://t.co/CMJxQixABC,0,0,0
160,992,RT @DLBredda: This guy got hate-fucked by his man until he was left trembling. #TakeItTilYouShakeIt https://t.co/fHd93NGQrM,0,0,1
161,4,RT @AracelyMariaOr1: Hate that I️ reply so fast to people who take a billion years😤,0,0,1
162,0,"Now I got a real good reason to hate Arrow...ya just crashed Barry’s wedding with a proposal. Awww, it’s not cute.… https://t.co/sZhFur9aIv",0,0,0
163,727,"RT @Mare3097: me: I have 9 friends 

friend: I hate k-pop why do you even listen to it

me: https://t.co/ELNf6gJDfw",0,0,1
164,0,I have a challenge for you though . Do I get snarky sometimes? Hell yeah. But you seem pretty convinced that I am t… https://t.co/3hBH3hNNFH,0,0,0
165,1867,"RT @Aripags25: Me in Atlanta: I hate this traffic and every sports team sucks 

Me anywhere else: fuckin ATL hoe, I only eat cfa, I basical…",0,0,1
166,0,When you’re a jackass who can’t seem to stop screwing up. Hate it when they put such high expectations on me then h… https://t.co/iHeYaA92HX,0,0,0
167,0,@DomSherwood1 Sometimes a painful lesson like this is a reality your words can hurt. Also it provides an opportunit… https://t.co/uOjvPbewvx,0,0,1
168,0,I hope this army doesn't receive hate for this. If they aren't harming anyone why ss them and hate on them. Let the… https://t.co/k444oDDmqT,0,0,0
169,4,RT @YaBoyDC: Purdue is trash. I hate losing to inferior teams.,0,0,1
170,3,"RT @izzykatie_01: @DomSherwood1 Don't get me wrong, I am really annoyed that he did you the term 'fag' and I'm so proud of the way @Matthew…",0,0,1
171,492,RT @thugvatic: Taylor Swift has 6 SOLID albums. Try listening to one &amp; see WHY she is as big as she is. Instead of hopping on the “i hate T…,0,0,1
172,0,Harry's so pretty I hate him,1,0,0
173,354,RT @beaufilms: 10 Things I Hate About You (1999) https://t.co/epX5TXhOhs,0,0,1
174,0,@__Miikee I literally hate myself Mike lol,0,1,1
175,0,u know what i hate ppl that always like ur tweets but never follow u,0,0,0
176,4,RT @shelbyy_evans: I hate that it's dark by 5pm,0,0,1
177,0,I HATE IT WHEN SOMEONE LEAVES ME ON READ!!,0,0,0
178,43,RT @stacehirsh: Acting like ya hate me I left because you made me,0,0,1
179,201,RT @TrueFactsStated: If Roy Moore is defeated or not will not depend on how much progressive activists like me hate him. It will depend on…,1,0,1
180,0,@TJ_Gillis Just watching the full interview. Tears in his eyes. Really too bad. Hate seeing this.,0,0,1
181,171,RT @DamnRealPosts: I hate hearing something that absolutely kills you inside and having to act like you don't care...,0,0,1
182,12,RT @1776Stonewall: @MsM_is_ENEMY @realDonaldTrump Republicans have cowered whenever the left and the media attacked them. Trump is the firs…,0,0,1
183,0,"@Chaos_DxD @BungieHelp Yes. And I know it's the ""cool"" thing to do to hate Bungie and Destiny right now but don't b… https://t.co/4TVTEXisOR",0,0,1
184,0,To watch the #VSFashionShow and hate myself or just go to bed 🤔🤔,0,1,0
185,0,@00johnjohn1903 @Africarevolt So how's my agenda going let me get Halal Hebrew root definition hate to think I might of made it up,0,0,1
186,4,RT @USlawreview: @PeterSweden7 I hate to say it but Sweden is long gone. There is not even a scintilla of evidence they are doing what it w…,0,0,1
187,12,RT @CyborgN8VMari: Lol I hate myself but here we go again: https://t.co/QaBsYTIYIV,0,1,1
188,0,rewatching the office and i was reminded how much i fuckin hate dwight,0,0,0
189,53,RT @spicebae_: i HATE when an artist starts getting their recognition &amp; people start to listen/like their music &amp; their “day 1 fans” start…,0,0,1
190,0,"Hate to see him go, but we knew it was coming sooner or later. Thanks @BallCoachJoeMo, and good luck! #Tuddies https://t.co/07kMHolVyt",0,0,1
191,3201,"RT @AYE_ME_adelee: 13. i, hate you
https://t.co/hvoYsW7dsB",1,0,1
192,0,@SidelineSwagger @RyanHyattMedia Would hate to see him go lol,0,0,1
193,0,even though it's just a tournament I hate losing bruh,0,0,0
194,2666,"RT @witnessmatt: A nice, talented boy who hit insane success at a very young age with no guidance and a manager who’d never managed anyone…",0,0,1
195,0,"@brennanleffler @ProudCanadian06 @scib0rg @jessicam40 @Livthegudlyfe @JustinTrudeau I'm so sick of all the hate, anger &amp; intolerance. Bravo",0,0,1
196,6,"RT @bastillelwts: the Butch mutual
- seems constantly angry
- you think they hate you
- they don’t
- has a bitch resting face
- looks probl…",1,0,1
197,2,RT @MarceMarroquin7: hate u love u,0,0,1
198,0,@corrrina_k @DynaLynn_rblx dfvfgrwrvf i hate u corrina but still gotta love u,0,0,1
199,12,RT @allieleeowens_: i hate math .,0,0,1
200,1,RT @ForeverEssence_: i hate a bunch of noise. i get so annoyed.,0,0,1
201,0,@TWO_Sweeet @The_Meme_Elite I hate that dude,0,0,1
202,197,"RT @glorystigma: Hay fandoms que sinceramente no tienen moral para llamar a Army el peor fandom. Internamente somos de los más unidos, y JA…",0,0,1
203,0,@YungKakathot I know baby I’m sorry 😭. I hate her. She stole my baby. I love Gohan and Trunks 😂😂,1,0,1
204,0,"People really hate on cardi b cause she really from the hood and y’all can’t do what she did , don’t hate just watch and learn 😩",0,0,0
205,0,I hate ppl who talk down on others w/o a degree. I wish a mf would. If you making $22/hr and they talking down on y… https://t.co/842teHQkJT,0,0,0
206,6,"RT @ltsKardashians: Me: omfg I hate taking pictures Anyone: *pulls out their phone*
Me: https://t.co/w7Ga5NLMyO",0,0,1
207,0,Celtics have the grizzlies and clippers pick next year? wow i really hate them,1,0,0
208,0,Msg gonn hate you whether you doing good or bad . Flex on em 💪🏾🤑,1,0,0
209,0,I hate to agree 😖 but https://t.co/cAbOtxZxfh,0,0,0
210,0,"Death days update:

I'm 50% done w the exams
I heard my 2014 s/s and Mobb albums already reached home. Yey!
Tomorro… https://t.co/COxNkrln38",0,0,0
211,0,"Yeah, Still hate it",0,0,0
212,10,RT @LovableNotebook: I hate that I'm such a forgiving person. You can do me dirty and I'll still convince myself that those weren't your in…,0,0,1
213,0,i hate distance so bad,0,0,0
214,0,i hate my computer,0,1,0
215,0,"@Ballie_09 Haha I'm one of those people where 'if it doesn't fit, either fix it or give it away'. But yup, I have s… https://t.co/yqRekuDBo0",0,0,1
216,0,"how many people hate when peeps say ""do want me to say something""and they say something             I      HATE          IT",0,0,0
217,1054,"RT @slpng_giants: Not only is this shameless shill trying to crush #netneutrality for his old employer, he’s trying to use his position to…",0,0,1
218,6365,RT @lilxanfuhyobih: I hate anxiety why do I suffer so bad from this,0,0,1
219,2286,"RT @weakroses: 81. shane west
- too perfect
- too cute 
- i'm in love with him
- i hate how sweet he is https://t.co/q9bRbJYe1T",0,0,1
220,0,isn't a burnt i hate emily hey gay ur homo,0,0,0
221,272,RT @whosalexander: i hate when old people say that tattoos are a waste of money like okay Beatrice you have a cabinet full of expensive pla…,0,0,1
222,1,RT @TheUnitedLink: Hate to say this but just come or shut up. The fans don’t need this. Actions speak louder than words. https://t.co/r2Cy6…,0,0,1
223,3,RT @SkolBros: Viking twitter fights are the best. You’d think we’d all get along since we have one main thing in common. We all HATE the Pa…,0,0,1
224,0,people who hate themselves / dont have taste buds or olfactory things,1,0,0
225,3232,RT @Lucaspeebo: What’s with the hate I just don’t get it.. Girls don’t wear makeup to please anyone. They just want to feel good about them…,0,0,1
226,17223,"RT @snreifschneider: Me in Florida: this state is so fucking hot I hate this tourist attracting, mosquito ridden swamp land I’m melting

Me…",0,0,1
227,0,can’t even drink water without throwing up. I hate being sick 😔,0,0,0
228,0,I hate when a nigga be like “I’m your bf now” like nigga do you even know me? Your dismissed.,0,0,0
229,0,Crazy8s These bitche gunna hate call my bitch Rachel Ray how she Whippin' up the cake 💢🦇🏁🕷🕷🕷🕷 @rachelray,0,0,1
230,2,RT @intoxi_kate_ing: I hate how easily I forgive people. Sometimes they don’t deserve my forgiveness.,0,0,1
231,10580,"RT @marie_brownsuga: i hate arguing through text. let's argue in person so, i can knock yo ass out.",0,0,1
232,0,"the way i fuck him (you'd think i love this --) jonghyunslisterine
hate sex, rough sex, pwp, overstimulation
summar… https://t.co/pAhQ6Ikagi",0,0,0
233,1610,RT @HayesGrier: smile at people who hate you,1,0,1
234,57,"RT @bynhyuk: Dong: ""The Outlaws"" (movie) isn't for minors. Babies, become adults first then watch it. For the noonas, I recommend ""It."" Aft…",0,0,1
235,0,"Retweeted 360 ♔🍕 (@ItsThreeSixty):

Love don’t cost a thing, and y’all still got hate for me",0,0,1
236,1,RT @vminjjk: Tbh I hate apologist armys more than I hate antis,0,0,1
237,4,RT @Liberianking6: ***missionary that’s why i hate that fucking position you be stroking and the bitch talking nasty to you in your ear tha…,0,0,1
238,0,@soniagupta504 Love it. I absolutely hate hearing about Imposter Syndrome. It's BS on so many levels,0,0,1
239,1,RT @jr_thekid: Really hate being sick 🤦🏿‍♂️,0,0,1
240,2,RT @AintChu8huncho: On My Grandma I Hate Seeing People Down Dat Shit Fu Asl 💯,0,0,1
241,795,"RT @WorldStarFunny: hate when ppl use their zodiac to justify shitty behavior like ""sry i can't help it im a scorpio."" no Susan you're just…",0,0,1
242,0,I seriously hate making phone calls but I'm really not gonna do nothing about Net Neutrality,0,0,0
243,1,RT @moyy4l: @kylorenbot Wow I hate myself for that,0,1,1
244,0,@DaTrillStak5 was an embarrassment in Indiana. His crybaby and nearly illiterate message to @ChandlerParsons rings… https://t.co/6mrwMv4ovp,0,0,1
245,727,"RT @Mare3097: me: I have 9 friends 

friend: I hate k-pop why do you even listen to it

me: https://t.co/ELNf6gJDfw",0,0,1
246,91,"RT @rileyfield5: Me in Maine: I hate snow, there's never anything to do here

Me anywhere else: we survive -100° weather, including a hermi…",0,0,1
247,0,HATE that shit https://t.co/Zfq18vGosg,0,0,0
248,1610,RT @HayesGrier: smile at people who hate you,1,0,1
249,0,My mom always taught me to not hate anyone but it’s really hard right about now,0,0,0
250,51,"RT @Thomas1774Paine: Love Her or Hate Her, Ann Coulter Just OWNED Al Franken https://t.co/d2Nxl5ADsa",1,0,1
251,2,"RT @ItsThreeSixty: Love don’t cost a thing, and y’all still got hate for me",0,0,1
252,0,@ZZAli1 @JurassicWorld I have used his PLEEAASSEE in my head so many times in so many situations 😂😂also any time I… https://t.co/mKdS4t9lO9,0,0,1
253,0,"@ScottBaio @SenWarren U r sad man. Hours after a ""lets cease resistance"" tweet u attack. Sad man. U r addicted to u… https://t.co/HGJSGeFiBL",0,0,1
254,0,@nattiballerz @theblaze Of course not.  You hate America.,0,0,1
255,0,My roommates hate me because I’m wrapping my own gifts to put under the tree,0,0,0
256,0,"@MajorCrimesHQ That was beautiful. And I hate TNT. Sorry, had to say it. All those damn commercials 😩😭🧐",0,0,1
257,8,RT @superscientific: Pixel 2 XL screen already has a big scratch on it.  No glass screen protectors worth a crap.  I really hate how soft t…,0,0,1
258,182,RT @OsamaGuwop_: If My Bitch Don't like You ...Then Bitch I Hate You🤷🏾‍♂️💯 🗣 UGLY Ass 🤣,1,0,1
259,0,@ScoregasmVz Lmao fuck you too then jk he's beast but I hate how he holds two titles and hasn't defended one at all,0,0,1
260,10580,"RT @marie_brownsuga: i hate arguing through text. let's argue in person so, i can knock yo ass out.",0,0,1
